ID_TMatrix_V1_Out,TMatrix_ABS_CRS,TMatrix_SCA_CRS,created_at,updated_at,MLink
121,0.0037497847040022935,9.192627881063254e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,121
122,0.030027544146615234,0.003748758016992225,2019-07-16 06:10:03,2019-07-16 06:10:03,122
123,0.0016870874218674003,3.369947657879038e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,123
124,0.0005008609292702971,7.068203505774871e-06,2019-07-16 06:10:03,2019-07-16 06:10:03,124
125,0.00993600626796958,0.000469804898148614,2019-07-16 06:10:03,2019-07-16 06:10:03,125
126,0.014788053254955877,0.0007816268180088417,2019-07-16 06:10:03,2019-07-16 06:10:03,126
127,0.004951747883860133,0.0001387404260643697,2019-07-16 06:10:03,2019-07-16 06:10:03,127
128,0.003576806575392264,5.732734536245131e-05,2019-07-16 06:10:03,2019-07-16 06:10:03,128
129,0.004942926344963544,0.00018389545509723724,2019-07-16 06:12:28,2019-07-16 06:12:28,129
130,0.0014994851245291108,2.578571385602846e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,130
131,0.0021839396323570354,5.277298403685444e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,131
132,0.009578573920203006,0.0006747240336788943,2019-07-16 06:12:28,2019-07-16 06:12:28,132
133,0.004746158507825473,8.267756120931714e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,133
134,0.010947658996214,0.0004790202574641214,2019-07-16 06:12:28,2019-07-16 06:12:28,134
135,0.0012963998431187484,3.2131187441090936e-05,2019-07-16 06:12:28,2019-07-16 06:12:28,135
136,0.0006791480479145555,4.999484189909176e-06,2019-07-16 06:12:28,2019-07-16 06:12:28,136
137,0.010504618530366218,0.0005534132315721779,2019-07-16 06:12:28,2019-07-16 06:12:28,137
138,0.011269681449699078,0.0009280487493206484,2019-07-16 06:12:28,2019-07-16 06:12:28,138
139,0.005898697771492227,0.00021035611401541674,2019-07-16 06:12:28,2019-07-16 06:12:28,139
140,0.0049861322660417345,0.0001290695055035141,2019-07-16 06:12:28,2019-07-16 06:12:28,140
